university,us_news_rank_23,course_catalog_accesible,did_it_include_any_class,general_school_notes,course_1_name,course_1_url,course_1_level,course_1_dept,course_1_topic_list,course_1_software,notes,course_2_name,course_2_url,course_2_level,course_2_dept,course_2_topic_list,course_2_software,notes_19,course_3_name,course_3_url,course_3_level,course_3_dept,course_3_topic_list,course_3_software,notes_26,course_4_name,course_4_url,course_4_level,course_4_dept,course_4_topic_list,course_4_software,notes_33,course_5_name,course_5_url,course_5_level,course_5_dept,course_5_topic_list,course_5_software,notes_40,course_6_name,course_6_url,course_6_level,course_6_dept,course_6_topic_list,course_6_software,notes_47,course_7_name,course_7_url,course_7_level,course_7_dept,course_7_topic_list,course_7_software,notes_54,course_8_name,course_8_url,course_8_level,course_8_dept,course_8_topic_list,course_8_software,notes_61,course_9_name,course_9_url,course_9_level,course_9_dept,course_9_topic_list,course_9_software,notes_68,course_10_name,course_10_url,course_10_level,course_10_dept,course_10_topic_list,course_10_software,notes_75,course_11_name,course_11_url,course_11_level,course_11_dept,course_11_topic_list,course_11_software,notes_82,course_12_name,course_12_url,course_12_level,course_12_dept,course_12_topic_list,course_12_software,notes_89,course_13_name,course_13_url,course_13_level,course_13_dept,course_13_topic_list,course_13_software,notes_96,course_14_name,course_14_url,course_14_level,course_14_dept,course_14_topic_list,course_14_software,notes_103,course_15_name,course_15_url,course_15_level,course_15_dept,course_15_topic_list,course_15_software,notes_110,type,notes_12
University of Virginia,25,TRUE,TRUE,NA,Data Visualization and Management,http://records.ureg.virginia.edu/preview_course_nopop.php?catoid=54&coid=342100,Undergrad,Statistics,None,SQL,NA,Communicating with Data,https://uvads.github.io/DS-2003/index.html,Undergrad,Data Science,Interactive Graphics,R (Shiny),NA,Data Visualization,https://web.arch.virginia.edu/arch547/syllabus.html,Grad,Architecture,"Interactive Graphics, Spatial Data","Tableau, D3.js, JavaScript, Adobe Illustrator, Inkscape, RawGraphs",Class has Tufte readings + includes more types of visualizations past the standard statistical ones,Storytelling with Data,http://records.ureg.virginia.edu/preview_course_nopop.php?catoid=55&coid=350905,Grad,Business,None,None,NA,Data Aggregation and Visualization,NA,Grad,Commerce,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Southern California,25,TRUE,TRUE,NA,Data Visualization,https://catalogue.usc.edu/preview_course_nopop.php?catoid=16&coid=255545,Grad,Data Science,Interactive Graphics,NA,NA,Data Visualization and Interactive Tools,https://catalogue.usc.edu/preview_course_nopop.php?catoid=16&coid=253869,Undergrad,Journalism,None,NA,NA,Information Visualization,https://web-app.usc.edu/soc/syllabus/20141/37428.pdf,Undergrad,Institute for Multimedia Literacy,"Time Series, Interactive Graphics",None,NA,Communicating Data for Planning and Development,https://catalogue.usc.edu/preview_course_nopop.php?catoid=16&coid=254038,Grad,Urban and Regional Planning,None,None,NA,Techniques of Information Visualization,https://catalogue.usc.edu/preview_course_nopop.php?catoid=16&coid=244480,Grad,Institute for Multimedia Literacy,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
New York University,25,TRUE,TRUE,NA,Data Visualization,NA,Undergrad,Applied Data Analytics and Visualization,None,None,NA,Data Visualization,https://cusp.nyu.edu/wp-content/uploads/2019/10/CUSP-GX-6006.001-2018-Syllabus.pdf,Grad,Center for Urban Science and Progress,Interactive Graphics,"Python (matplotlib), VTK, D3.js",NA,Storytelling with Data,https://www.sps.nyu.edu/homepage/academics/courses/HCAT1-GC2005-storytelling-with-data.html,Undergrad,Human Capital Analytics and Technology,"Time Series, Interactive Graphics","Tableau, PowerBI",NA,Data Visualization for Business Intelligence,http://bulletin.engineering.nyu.edu/preview_course_nopop.php?catoid=15&coid=38017,Grad,Management,Interactive Graphics,"R, D3.js",NA,Data Visualization,NA,Grad,Health Administration,NA,Tableau,NA,Data Visualization and Storytelling,https://wagner.nyu.edu//files/syllabi/202301/PADM-GP.4119.001.pdf,Undergrad,Public and Nonprofit Management and Policy,Interactive Graphics,Tableau,NA,Data Visualization,NA,Undergrad,Technology,"Interactive Graphics, Time Series",NA,"Mentions Ben Fry, Colin Ware, and Richard Saul Wurman",Selected Topics in CS: Data Visualization,NA,Grad,Computer Science,NA,None,NA,Storytelling with Data Visualization,NA,Undergrad,Writing,None,None,NA,Information Visualization,NA,Undergrad,Data Science,Networks,None,NA,Visual Analytics,NA,Undergrad,Applied Data Analytics and Visualization,None,None,NA,Presenting and Visualizing Education Data,https://steinhardt.nyu.edu/courses/presenting-and-visualizing-education-data,Undergrad,"Applied Statistics, Social Science, and Humanities",None,None,NA,Advanced GIS: Interactive Web Mapping and Spatial Data Visualization,https://wagner.nyu.edu/education/courses/advanced-gis-interactive-web-mapping-and-spatial-data-visualization,Grad,Urban Planning,"Spatial Data, Interactive Graphics","HTML, CSS, JavaScript, GitHub, QGIS, CartoDB, PostGIS",NA,Urban Data Mapping,NA,Undergrad,Urban Studies,"Spatial Data, Interactive Graphics",NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Florida,29,TRUE,TRUE,NA,Data Visualization in the Health Sciences,https://undergrad.phhp.ufl.edu/wordpress/files/2023/01/PHC4792-Syllabus-Sp23.pdf,Undergrad,Public Health,"Time Series, Spatial Data","R (tidyverse, plotly)",NA,Spatial Maps and Graphs,https://geog.ufl.edu/wp-content/uploads/sites/60/GIS3001C_Spatial_Maps_and_Graphs_2022_SounnySlitine.pdf,Undergrad,Geography,"Spatial Data, Interactive Graphics","Adobe Suite, ArcGIS",NA,Dataviz and Mapping,https://www.jou.ufl.edu/assets/syllabi/202101/JOU3121-Dataviz-and-Mapping-Lewis-S21.pdf,Undergrad,Journalism,Spatial Data,Tableau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of North Carolina-Chapel Hill,29,TRUE,TRUE,NA,Data Visualization,NA,Grad,Health Policy and Management,None,Tableau,NA,First Year Seminar: Visualizing Data,NA,Undergrad,Statistics and Operations Research,NA,None,NA,Geovisualizing Change,NA,Both,Geography,Spatial Data,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Wake Forest University,29,FALSE,FALSE,Course Catalog was missing descriptions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Tufts University,32,TRUE,TRUE,NA,Data Visualization for Public Health I,NA,Grad,Public Health and Community Medicine,None,R,"Open to MD, MPH (Masters of Public Health), and other students.",Data Visualization and Effective Communication,https://nutrition.tufts.edu/sites/default/files/courses/syllabi/NUTR%200393.pdf,Grad,Nutrition Science and Policy,"Spatial Data, High Dimensional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of California-Santa Barbara,32,TRUE,TRUE,NA,Environmental Data Visualization,NA,Grad,Environmental Science & Management,Interactive Graphics,"Microsoft Excel, Tableau",NA,Data Visualization and Communication,https://bren.ucsb.edu/courses/eds-240,Grad,Environmental Data Science,Interactive Graphics,MySQL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of California-San Diego,34,TRUE,TRUE,Could only search by title,Information Visualization,NA,Undergrad,Cognitive Science,Interactive Graphics,None,NA,Data Visualization,NA,Grad,Data Science and Engineering,"Spatial Data, High Dimensional, Text Data, Networks, Interactive Graphics","D3.js, VisIt",NA,Introduction to Data Visualization,NA,Undergrad,Data Science,Interactive Graphics,D3.js,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of California-Irvine,34,TRUE,TRUE,NA,Information Visualization,https://www.ics.uci.edu/~redmiles/inf143-SQ08/,Undergrad,Informatics,Interactive Graphics,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Rochester,36,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Boston College,36,TRUE,TRUE,Search incomplete due to course catalog not working properly,Data Visualization,https://carolinanobre.com/assets/files/6645_Syllabus.pdf,Both,Information Systems,None,Tableau,NA,Data Visualization,NA,Undergrad,Information Technology,Interactive Graphics,"Tableau, Microsoft Excel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of California-Davis,38,TRUE,TRUE,NA,Data Visualization,NA,Grad,Business Analytics,"Text Data, Interactive Graphics","R, Python, ManyEyes, HTML, CSS",NA,Information Interfaces,https://cs.ucdavis.edu/schedules-classes/ecs-163-information-interfaces,Undergrad,Computer Science Engineering,"High Dimensional, Text Data, Networks, Interactive Graphics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Texas-Austin,38,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Wisconsin-Madison,38,TRUE,TRUE,NA,Data Visualization,https://pages.graphics.cs.wisc.edu/765-22/pages/learning-goals/,Grad,Computer Science,"High Dimensional, Networks, Interactive Graphics",NA,NA,Data Visualization for Economists,NA,Both,Economics,None,Tableau,NA,Statistical Data Visualization,https://krisrs1128.github.io/stat479/,Both,Statistics,"Spatial Data, Clustering, Time Series, High Dimensional, Networks, Interactive Graphics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
College of William and Mary,41,TRUE,TRUE,NA,Data Visualization,https://catalog.wm.edu/preview_course_nopop.php?catoid=26&coid=77801,Undergrad,Data Science,None,None,NA,Data Visualization,https://catalog.wm.edu/preview_course_nopop.php?catoid=27&coid=80622,Grad,Business Administration,Text Data,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Boston University,41,FALSE,FALSE,22-23 not available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Illinois-Urbana-Champaign,41,TRUE,TRUE,NA,Data Visualization,https://courses.illinois.edu/search/schedule/2022/fall/IS/445?sess=,Both,Information Sciences,"Networks, High Dimensional",Python,NA,Display/Interpretation of Data,https://courses.illinois.edu/search/schedule/2022/fall/EPSY/508?sess=,Grad,Educational Psychology,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Georgia Institute of Technology,44,FALSE,FALSE,Course Catalog broken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Brandeis University,44,TRUE,TRUE,NA,Information Visualization,https://registrar-prod.unet.brandeis.edu/registrar/schedule/course?acad_year=2023&crse_id=014044,Grad,Business,None,"R, MicroStrategy, Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Case Western Reserve University,44,TRUE,TRUE,NA,Data Visualization in R,NA,Undergrad,Economics,None,R,NA,Data Visualization and Analytics,NA,Both,Applied Data Science,"Time Series, Interactive Graphics",R (Shiny),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Tulane University,44,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Northeastern University,44,TRUE,TRUE,NA,Special Topics in Data Visualization: Information Visualization,https://johnguerra.co/classes/data_visualization_spring_2021/,Both,"Computer Science, Data Science","Networks, Interactive Graphics","Tableau, D3.js, Vega-Lite, Microsoft Excel, R, Python",NA,Data Visualization,https://yulunzhang.com/courses/EECE5642/syllabus-Spring2020.html,Grad,Electrical and Computer Engineering,"Spatial Data, High Dimensional, Networks, Interactive Graphics",NA,NA,Information Visualization: Theory and Applications,https://www.ccs.neu.edu/home/borkin/courses/2019Spring/CS7250/,Grad,Computer Science,"Spatial Data, Time Series, High Dimensional, Networks, Interactive Graphics","JavaScript, D3.js, Python (matplotlib), Tableau",NA,Information Presentation and Visualization,https://neu-ds-4200-s22.github.io,Undergrad,Data Science,"Spatial Data, Networks, Interactive Graphics","D3.js, JavaScript, HTML, CSS, Tableau, Altair",NA,Communication and Visualization for Data Analytics,NA,Both,Analytics,None,"R (Shiny), Tableau",NA,Information Visualization Principles and Practices,NA,Grad,Art - Design,None,NA,NA,Visualization Technologies 2: Advanced Practices,NA,Both,Art - Design,Interactive Graphics,"D3.js, JavaScript",NA,Business Information Visualization,NA,Grad,Business Administration,None,Tableau,NA,AI Communication and Visualization,NA,Grad,Institute for Experimental AI,"Spatial Data, Networks","R-spatial, GeoDa, GeoWave, GeoTrellis, GeoMesa",NA,Computation and Visualization for Analytics,https://zhenyuanlu.com/courses/ie6600-vbc-fa22/,Grad,Industrial Engineering,"Spatial Data, Clustering, Time Series,  Interactive Graphics",R (Shiny),NA,Information Visuals and Dashboards for Business,https://wl11gp.neu.edu/udcprod8/bwckctlg.p_disp_course_detail?cat_term_in=202210&subj_code_in=MISM&crse_numb_in=6210,Grad,Management Information Systems,Interactive Graphics,NA,NA,Information Visualization for Business,https://wl11gp.neu.edu/udcprod8/bwckctlg.p_disp_course_detail?cat_term_in=202010&subj_code_in=MISM&crse_numb_in=3501,Undergrad,Management Information Systems,None,None,NA,Information Design and Visual Analytics,https://wl11gp.neu.edu/udcprod8/bwckctlg.p_disp_course_detail?cat_term_in=202030&subj_code_in=INSH&crse_numb_in=5302,Both,Interdisciplinary Studies in Social Sciences and Humanities,None,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Georgia,49,FALSE,FALSE,Course Catalog was missing descriptions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Ohio State University-Columbus,49,TRUE,TRUE,NA,Introduction to Data Visualization,https://data-analytics.osu.edu/courses/cse/5544,Both,Computer Science and Engineering,None,None,NA,Emerging Trends in Data Visualization,https://ascnet.osu.edu/storage/request_documents/3774/ACCAD%205150%20New%20Course.pdf,Both,Advanced Computing Center for the Arts and Design,None,None,NA,Descriptive Analytics and Visualization,https://files.fisher.osu.edu/public/7331_spring_2019.pdf,Grad,Business Operations and Business Analytics,"Spatial Data, Clustering, High Dimensional, Text Data, Networks, Interactive Graphics",R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Lehigh University,51,TRUE,TRUE,NA,Methods in Visual Thinking,https://engineering.lehigh.edu/te/curriculum/integrated-courses,Undergrad,Technical Entrepreneurship,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Purdue University,51,TRUE,TRUE,Course Catalog search is done but some pages wouldn't load so I may be missing a course or 2,Introduction to Data Visualization,https://selfservice.mypurdue.purdue.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202230&subj_code_in=CS&crse_numb_in=43900,Both,Computer Science,"Time Series, Text Data, Networks, Interactive Graphics",NA,NA,Interactive Data Visualization,https://catalog.purdue.edu/preview_course_nopop.php?catoid=15&coid=159920,Both,Computer Graphics Technology,Interactive Graphics,NA,NA,Introduction to Data Visualization,https://catalog.purdue.edu/preview_course_nopop.php?catoid=15&coid=160213,Undergrad,Computer Graphics Technology,"Spatial Data, Networks",NA,NA,Data Visualization Tools And Applications,https://catalog.purdue.edu/preview_course_nopop.php?catoid=15&coid=160875,Both,Computer Graphics Technology,None,NA,NA,Data Visualization,NA,Both,Management,None,NA,NA,Introduction to Data Visualization,NA,Both,Computer Science,"Spatial Data, Time Series, Text Data, Networks",None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
